Movie,"Release
Date",Distributor,"MPAA
Rating",Domestic Gross,"Inflation-Adjusted
Gross",Genre
Hulk,2003-06-20,Universal,PG-13,132177234,172925832,Action
Charlie's Angels: Full Throttle,2003-06-27,Sony Pictures,PG-13,100814328,131911285,Action
Terminator 3: Rise of the Machines,2003-07-01,Warner Bros.,R,150358296,196726869,Action
Bad Boys II,2003-07-18,Sony Pictures,R,138540870,181274872,Action
S.W.A.T.,2003-08-08,Sony Pictures,PG-13,116877597,152929393,Action
Once Upon a Time in Mexico,2003-09-12,Sony Pictures,R,56330657,73706281,Action
Underworld,2003-09-19,Sony Pictures,R,51970690,67998497,Action
The Rundown,2003-09-26,Universal,PG-13,47641743,62337209,Action
Kill Bill: Volume 1,2003-10-10,Miramax,R,70098138,91703647,Action
The Matrix Revolutions,2003-11-05,Warner Bros.,R,139259759,182178893,Action
The Last Samurai,2003-12-05,Warner Bros.,R,111110575,144583500,Action
Torque,2004-01-16,Warner Bros.,PG-13,21176322,26905184,Action
Hellboy,2004-04-02,Sony Pictures,PG-13,59623958,75093359,Action
Walking Tall,2004-04-02,MGM,PG-13,46213824,58716118,Action
Kill Bill: Volume 2,2004-04-16,Miramax,R,66207920,84119243,Action
The Punisher,2004-04-16,Lionsgate,R,33664370,42653490,Action
Silmido,2004-04-23,Cinema Service,Not Rated,298347,379059,Action
Van Helsing,2004-05-07,Universal,PG-13,120150546,152655041,Action
Troy,2004-05-14,Warner Bros.,R,133298577,169360026,Action
Once Upon a Time in the Hood,2004-06-18,Maverick Entertainment,Not Rated,1292,1641,Action
"I, Robot",2004-07-16,20th Century Fox,PG-13,144801023,183967035,Action
Catwoman,2004-07-23,Warner Bros.,PG-13,40202379,51073722,Action
Zatoichi,2004-07-23,Miramax,R,853718,1084678,Action
Collateral,2004-08-06,Dreamworks SKG,R,100170152,127057578,Action
Jet Li's Hero,2004-08-27,Miramax,PG-13,53652140,68166728,Action
Dhoom,2004-08-27,Yash Raj Films,Not Rated,245756,312239,Action
Warriors of Heaven and Earth,2004-09-03,Sony Pictures,R,82382,104669,Action
Ghost in the Shell 2: Innocence,2004-09-17,DreamWorks/Go Fish,Not Rated,1043896,1174584,Action
Ladder 49,2004-10-01,Walt Disney,PG-13,74541707,94679826,Action
Taxi,2004-10-06,20th Century Fox,PG-13,36609966,46504291,Action
After the Sunset,2004-11-12,New Line,PG-13,28328132,35983292,Action
House of Flying Daggers,2004-12-03,Sony Pictures Classics,PG-13,11050094,13755323,Action
Blade: Trinity,2004-12-08,New Line,R,52397389,66401372,Action
Sky Blue,2004-12-31,Maxmedia/Endgame,Not Rated,73653,90782,Action
Elektra,2005-01-14,20th Century Fox,PG-13,24409722,30043479,Action
Appurush?do,2005-01-14,Geneon Entertainment,R,129135,156151,Action
Assault On Precinct 13,2005-01-19,Focus/Rogue Pictures,R,20040895,24588333,Action
Ong-Bak,2005-02-11,Magnolia Pictures,R,4563167,5612930,Action
Constantine,2005-02-18,Warner Bros.,R,75976178,92933075,Action
Hostage,2005-03-11,Miramax,R,34636443,42633623,Action
Steamboy,2005-03-18,Sony Pictures,PG-13,468867,505141,Action
D.E.B.S.,2005-03-25,Samuel Goldwyn Films,PG-13,96793,119139,Action
Sin City,2005-04-01,Miramax/Dimension,R,74103820,91207493,Action
Kung Fu Hustle,2005-04-08,Sony Pictures Classics,R,17104669,21053952,Action
State Property 2,2005-04-13,Lionsgate,R,1691706,2065105,Action
XXX: State of the Union,2005-04-29,Sony Pictures,PG-13,26873932,32105175,Action
